date,symbol,series,prev close,open,high,low,last,close,vwap,volume,text_doc_index,text_sent_index,text_neg,text_neu,text_pos,text_compound,twitter_text_doc_index,twitter_text_sent_index,twitter_text_neg,twitter_text_neu,twitter_text_pos,twitter_text_compound,close_14_ema_x,close_14_ema_y,Text_Dominant_Topic,Text_Perc_Contribution,TWT_Dominant_Topic,TWT_Perc_Contribution
05/11/18,SBIN,EQ,285.35,286.45,300,283.5,296.1,294.95,292,44619891,157,3,0.383,2.435,0.182,-0.0363,413,21,0.091,5.715,1.194,2.7775,273.4435583,273.4435583,13,0.8026,4,0.8192
06/11/18,SBIN,EQ,294.95,296.1,298.3,283.9,285.25,286.45,289.58,40688243,0,0,0,0,0,0,414,15,0.078,4.953,0.968,0.9667,275.1777505,275.1777505,0,0,4,0.9051
07/11/18,SBIN,EQ,286.45,288.9,288.9,285.95,287,286.55,286.71,3312160,0,0,0,0,0,0,415,0,0,1,0,0,276.6940504,276.6940504,0,0,4,0.5507
09/11/18,SBIN,EQ,286.55,287,287.5,282.45,283.1,283.25,284.58,19201007,0,0,0,0,0,0,416,0,0,1,0,0,277.568177,277.568177,0,0,4,0.7918
12/11/18,SBIN,EQ,283.25,283.7,283.7,276.85,277.2,277.95,279.74,24044907,0,0,0,0,0,0,417,0,0.009,0.851,0.14,0.9778,277.6190868,277.6190868,0,0,0,0.4803
13/11/18,SBIN,EQ,277.95,276.3,279.7,273.35,279.4,278.05,276.23,25633628,0,0,0,0,0,0,418,10,0.059,4.715,0.227,1.6724,277.6765419,277.6765419,0,0,2,0.6341
14/11/18,SBIN,EQ,278.05,280.4,287.7,278,283.05,283.6,282.5,52674807,0,0,0,0,0,0,419,10,0.3,4.255,0.445,0.6562,278.4663363,278.4663363,0,0,2,0.5161
15/11/18,SBIN,EQ,283.6,283.85,287.05,281.15,285,285.4,284.37,18445463,0,0,0,0,0,0,420,10,0.273,4.28,0.447,1.3231,279.3908248,279.3908248,0,0,2,0.5658
16/11/18,SBIN,EQ,285.4,285.9,291.8,282.6,291.55,290.9,287.94,24805910,0,0,0,0,0,0,421,6,0.106,3.561,0.333,1.3878,280.9253815,280.9253815,0,0,4,0.6958
19/11/18,SBIN,EQ,290.9,293.5,293.5,286.05,288.05,288.15,288.82,13799970,0,0,0,0,0,0,422,6,0.41,3.202,0.389,-0.7011,281.8886639,281.8886639,0,0,2,0.9446
20/11/18,SBIN,EQ,288.15,285.9,288.55,282.5,282.6,283.45,285.14,12900924,0,0,0,0,0,0,423,0,0,0.84,0.16,0.8442,282.0968421,282.0968421,0,0,2,0.704
21/11/18,SBIN,EQ,283.45,283.45,289.55,283.05,286.5,287.05,286.74,16167419,0,0,0,0,0,0,424,1,0,1.838,0.162,1.6426,282.7572631,282.7572631,0,0,2,0.6981
22/11/18,SBIN,EQ,287.05,285.95,287.05,281.6,282.65,282.7,284.33,12066797,0,0,0,0,0,0,425,0,0,0.865,0.135,0.6682,282.7496281,282.7496281,0,0,4,0.5138
26/11/18,SBIN,EQ,282.7,284.1,287.25,279.6,286.5,286.4,283.47,16846820,0,0,0,0,0,0,426,21,0.193,6.5,0.307,2.4092,283.2363443,283.2363443,0,0,2,0.9582
27/11/18,SBIN,EQ,286.4,284.6,290.5,284.05,289,289.4,287.89,21242956,158,0,0,1,0,0,427,0,0,0.816,0.184,0.7269,284.0581651,284.0581651,3,0.4212,4,0.8095
28/11/18,SBIN,EQ,289.4,289.4,292.45,283,284,284.55,288.74,19837609,0,0,0,0,0,0,428,21,0.208,5.786,1.006,1.1512,284.1237431,284.1237431,0,0,2,0.5386
29/11/18,SBIN,EQ,284.55,289.3,289.65,284.25,288,286.4,287.09,27919104,159,0,0,0.826,0.174,0.2732,429,0,0,0.873,0.127,0.9246,284.427244,284.427244,4,0.582,2,0.7674
30/11/18,SBIN,EQ,286.4,288.8,290.9,283.2,284.05,284.65,286.52,17583510,160,0,0,0.877,0.123,0.4215,430,1,0,1.956,0.044,0.2732,284.4569448,284.4569448,3,0.4562,2,0.6907
03/12/18,SBIN,EQ,284.65,286.7,287.9,283.25,287.1,286.8,285.68,15772176,0,0,0,0,0,0,431,0,0,0.921,0.079,0.765,284.7693522,284.7693522,0,0,2,0.6362
04/12/18,SBIN,EQ,286.8,287.95,287.95,281.9,282.6,282.55,284.69,11897307,0,0,0,0,0,0,432,6,0.199,3.309,0.491,1.0383,284.4734385,284.4734385,0,0,2,0.7022
05/12/18,SBIN,EQ,282.55,282.45,283.2,277.05,280.2,280.15,281.13,14893748,0,0,0,0,0,0,433,15,0.55,4.661,0.789,0.7833,283.8969801,283.8969801,0,0,2,0.7087
06/12/18,SBIN,EQ,280.15,278,279.25,275.1,275.6,275.65,276.5,11083451,161,0,0.158,0.842,0,-0.7003,434,1,0,1.7,0.3,0.7184,282.7973827,282.7973827,4,0.6801,4,0.7142
07/12/18,SBIN,EQ,275.65,277,277.35,272.1,276,275.4,274.83,10165275,0,0,0,0,0,0,435,1,0,1.918,0.082,0.8765,281.811065,281.811065,0,0,2,0.8968
10/12/18,SBIN,EQ,275.4,271,276.4,270.15,274.35,274.2,273.76,11947887,162,0,0,0.751,0.249,0.6486,436,0,0.015,0.775,0.209,0.9674,280.7962564,280.7962564,4,0.5269,2,0.7988
11/12/18,SBIN,EQ,274.2,268.35,283.25,268.35,281.75,281.25,277.93,30927239,163,0,0,1,0,0,437,6,0.231,3.728,0.041,0.1063,280.8567555,280.8567555,4,0.546,2,0.9445
12/12/18,SBIN,EQ,281.25,283.75,285.85,282.2,285.3,285.25,284.28,21765939,0,0,0,0,0,0,438,55,0.691,9.98,0.329,-0.0544,281.4425214,281.4425214,0,0,2,0.7033
13/12/18,SBIN,EQ,285.25,290,294,285.75,288.85,289,290.37,24097152,0,0,0,0,0,0,439,6,0.198,3.339,0.463,0.1051,282.4501852,282.4501852,0,0,2,0.5376
14/12/18,SBIN,EQ,289,288.5,290.8,287.05,288.7,289.2,288.88,12156361,0,0,0,0,0,0,440,3,0.36,2.64,0,-0.5423,283.3501605,283.3501605,0,0,2,0.6597
17/12/18,SBIN,EQ,289.2,289.3,291.45,287.3,290.25,289.5,289.32,12728014,164,0,0,1,0,0,441,3,0.038,2.871,0.091,0.8316,284.1701391,284.1701391,4,0.8051,2,0.7674
18/12/18,SBIN,EQ,289.5,287.85,294,287,293.9,292.75,290.48,13606582,0,0,0,0,0,0,442,3,0.135,2.408,0.457,1.7729,285.3141206,285.3141206,0,0,0,0.4983
19/12/18,SBIN,EQ,292.75,294.7,302,294.7,299.5,300.7,299.22,26124125,0,0,0,0,0,0,443,21,0.226,6.047,0.728,0.6323,287.3655712,287.3655712,0,0,4,0.497
20/12/18,SBIN,EQ,300.7,298.35,301.65,293.15,294,294.05,297.78,19222232,0,0,0,0,0,0,444,0,0,0.914,0.086,0.765,288.2568284,288.2568284,0,0,0,0.534
21/12/18,SBIN,EQ,294.05,293.65,296.5,290.8,292,291.9,293.22,15777301,165,0,0,1,0,0,445,66,1.081,9.844,1.074,-0.3307,288.7425846,288.7425846,3,0.4119,2,0.5044
24/12/18,SBIN,EQ,291.9,293.5,295,290.15,293.5,293.05,292.6,12048877,166,0,0,1,0,0,446,0,0.018,0.927,0.055,0.4939,289.3169066,289.3169066,4,0.7399,2,0.9481
26/12/18,SBIN,EQ,293.05,292.85,295,287.15,294.55,294.15,290.87,12684324,167,0,0,0.833,0.167,0.4939,447,6,0.398,3.293,0.309,1.1381,289.9613191,289.9613191,4,0.6524,2,0.3712
27/12/18,SBIN,EQ,294.15,296.7,297.6,291.5,293.3,292.15,294.03,15304564,0,0,0,0,0,0,448,55,0.739,10.09,0.171,-0.4212,290.2531432,290.2531432,0,0,2,0.5719
28/12/18,SBIN,EQ,292.15,293.6,297.1,293.55,294.45,294.8,295.43,12876558,0,0,0,0,0,0,449,1,0.008,1.72,0.272,1.9355,290.8593908,290.8593908,0,0,0,0.7855
31/12/18,SBIN,EQ,294.8,297.2,298.25,295.5,295.65,295.9,296.5,9526067,0,0,0,0,0,0,450,1,0,2,0,0,291.531472,291.531472,0,0,2,0.8282
01/01/19,SBIN,EQ,295.9,297.5,300.7,293.85,300.7,299.6,296.77,11837127,0,0,0,0,0,0,451,6,0.199,3.502,0.3,0.1789,292.6072757,292.6072757,0,0,2,0.8914
02/01/19,SBIN,EQ,299.6,299.1,302.5,293.1,293.8,293.9,298.2,25559853,0,0,0,0,0,0,452,1,0.052,1.908,0.039,-0.1531,292.779639,292.779639,0,0,2,0.6215
03/01/19,SBIN,EQ,293.9,295,295.55,290.1,291.05,291.1,292.87,17548347,0,0,0,0,0,0,453,6,0.268,3.518,0.214,1.0654,292.5556871,292.5556871,0,0,2,0.475
04/01/19,SBIN,EQ,291.1,292.1,299,291.5,297.3,297.65,296.18,19514041,0,0,0,0,0,0,454,0,0,0.915,0.085,0.9062,293.2349288,293.2349288,0,0,2,0.5367
07/01/19,SBIN,EQ,297.65,301.05,301.5,295.2,296.55,296.3,298.25,14579399,0,0,0,0,0,0,455,3,0.729,2.128,0.143,0.0701,293.643605,293.643605,0,0,4,0.5625
08/01/19,SBIN,EQ,296.3,295.8,306,294.75,305.5,305.3,301.96,22949961,168,0,0,0.902,0.098,0.3818,456,10,0.209,4.549,0.242,-0.111,295.197791,295.197791,4,0.7131,2,0.6353
09/01/19,SBIN,EQ,305.3,306,307.1,300.75,304.75,305.3,304.37,21109911,0,0,0,0,0,0,457,3,0.087,2.781,0.132,0.4995,296.5447522,296.5447522,0,0,2,0.7823
10/01/19,SBIN,EQ,305.3,305.1,307.5,303.5,305.4,305.55,305.6,16295468,0,0,0,0,0,0,458,1,0,1.908,0.092,0.9125,297.7454519,297.7454519,0,0,2,0.6075
11/01/19,SBIN,EQ,305.55,305.4,306.2,300.95,301.65,302.75,303.57,12702551,0,0,0,0,0,0,459,0,0,0.943,0.057,0.8689,298.412725,298.412725,0,0,2,0.9338
14/01/19,SBIN,EQ,302.75,301,303.6,299.55,300.5,300.4,301.15,10372933,0,0,0,0,0,0,460,28,0.551,7.193,0.255,-0.1948,298.677695,298.677695,0,0,2,0.8797
15/01/19,SBIN,EQ,300.4,302,303.6,301.1,301.65,301.65,302.2,9444374,169,0,0,1,0,0,461,3,0,2.957,0.043,0.4019,299.0740023,299.0740023,11,0.3699,2,0.7402
16/01/19,SBIN,EQ,301.65,303,306.65,302.1,303,303.15,304.5,12111480,170,0,0.153,0.847,0,-0.4404,462,6,0.167,3.347,0.486,0.6854,299.6174687,299.6174687,4,0.3308,2,0.5311
