Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2021-01-08,RELIANCE,EQ,1911.15,1918.0,1938.4,1912.1,1934.0,1933.7,1923.06,12709792
2021-01-11,RELIANCE,EQ,1933.7,1938.8,1938.8,1892.5,1899.0,1897.25,1910.26,15371556
2021-01-12,RELIANCE,EQ,1897.25,1903.0,1960.0,1899.9,1955.5,1957.05,1935.51,18996047
2021-01-13,RELIANCE,EQ,1957.05,1963.55,1974.95,1918.45,1936.0,1938.8,1948.25,12284876
2021-01-14,RELIANCE,EQ,1938.8,1945.0,1966.9,1939.05,1958.1,1960.6,1957.17,9946818
2021-01-15,RELIANCE,EQ,1960.6,1960.6,1973.8,1920.05,1937.9,1937.45,1952.72,9503790
2021-01-18,RELIANCE,EQ,1937.45,1949.1,1997.0,1923.35,1972.8,1983.95,1967.71,16198856
2021-01-19,RELIANCE,EQ,1983.95,1994.65,2031.0,1994.65,2015.0,2016.4,2018.21,14771048
2021-01-20,RELIANCE,EQ,2016.4,2021.4,2058.0,2001.4,2053.0,2054.7,2036.58,14271669
2021-01-21,RELIANCE,EQ,2054.7,2082.0,2120.0,2075.0,2107.0,2099.4,2102.61,18038987
2021-01-22,RELIANCE,EQ,2099.4,2111.0,2115.35,2035.15,2047.95,2049.6,2070.96,14090818
2021-01-25,RELIANCE,EQ,2049.6,2034.95,2034.95,1932.0,1935.15,1941.0,1966.36,25016570
2021-01-27,RELIANCE,EQ,1941.0,1925.0,1925.0,1888.0,1890.0,1895.0,1904.59,19553809
2021-01-28,RELIANCE,EQ,1895.0,1880.15,1923.3,1870.0,1876.35,1876.55,1895.32,15722291
2021-01-29,RELIANCE,EQ,1876.55,1894.3,1913.1,1830.0,1844.95,1841.95,1871.72,20173258
2021-02-01,RELIANCE,EQ,1841.95,1859.4,1905.0,1848.0,1898.15,1895.3,1874.03,15774504
2021-02-02,RELIANCE,EQ,1895.3,1914.25,1940.0,1854.95,1936.0,1925.8,1889.81,19138414
2021-02-03,RELIANCE,EQ,1925.8,1928.3,1952.0,1900.0,1928.5,1930.65,1931.87,13984228
2021-02-04,RELIANCE,EQ,1930.65,1924.0,1940.0,1905.0,1921.5,1924.3,1923.71,11826848
2021-02-05,RELIANCE,EQ,1924.3,1930.05,1944.65,1920.0,1924.3,1923.75,1929.36,9344470
2021-02-08,RELIANCE,EQ,1923.75,1933.05,1969.0,1929.05,1951.4,1951.45,1954.84,9776136
2021-02-09,RELIANCE,EQ,1951.45,1961.95,1989.6,1952.3,1954.5,1956.15,1974.29,9047308
2021-02-10,RELIANCE,EQ,1956.15,1953.75,1984.75,1927.3,1980.35,1974.3,1955.63,9799560
2021-02-11,RELIANCE,EQ,1974.3,1980.0,2064.2,1972.25,2061.8,2055.7,2028.11,19631870
2021-02-12,RELIANCE,EQ,2055.7,2055.5,2078.0,2015.4,2040.0,2041.6,2049.91,14074374
2021-02-15,RELIANCE,EQ,2041.6,2048.05,2061.3,2025.0,2034.0,2032.6,2043.13,7287590
2021-02-16,RELIANCE,EQ,2032.6,2039.75,2079.4,2035.0,2058.5,2059.5,2061.23,9886093
2021-02-17,RELIANCE,EQ,2059.5,2060.0,2095.95,2050.6,2079.2,2083.25,2076.99,10957388
2021-02-18,RELIANCE,EQ,2083.25,2085.0,2108.4,2059.1,2063.5,2067.7,2085.18,8605531
2021-02-19,RELIANCE,EQ,2067.7,2057.0,2104.95,2053.3,2080.0,2080.3,2088.14,10800704
2021-02-22,RELIANCE,EQ,2080.3,2080.0,2089.9,1994.95,1999.1,2008.1,2036.88,10985697
2021-02-23,RELIANCE,EQ,2008.1,2048.0,2052.9,2013.6,2026.15,2023.45,2034.5,11834752
2021-02-24,RELIANCE,EQ,2023.45,2030.0,2065.25,2026.15,2060.55,2061.0,2048.89,4987735
2021-02-25,RELIANCE,EQ,2061.0,2076.0,2152.0,2073.0,2147.0,2144.35,2120.59,16085897
2021-02-26,RELIANCE,EQ,2144.35,2117.0,2133.9,2070.7,2079.5,2085.8,2096.69,17297575
2021-03-01,RELIANCE,EQ,2085.8,2110.2,2112.0,2062.5,2103.0,2101.7,2092.87,8159670
2021-03-02,RELIANCE,EQ,2101.7,2122.0,2130.0,2089.1,2108.0,2106.0,2107.78,7915073
2021-03-03,RELIANCE,EQ,2106.0,2121.05,2219.9,2107.2,2207.1,2202.1,2161.54,14733134
2021-03-04,RELIANCE,EQ,2202.1,2180.0,2189.95,2157.7,2174.0,2175.85,2175.57,9892597
2021-03-05,RELIANCE,EQ,2175.85,2156.0,2211.95,2153.05,2174.55,2178.7,2184.35,11773630
2021-03-08,RELIANCE,EQ,2178.7,2168.5,2231.9,2168.0,2193.0,2191.1,2205.66,9002404
2021-03-09,RELIANCE,EQ,2191.1,2200.0,2213.8,2146.6,2190.55,2191.05,2181.47,6993792
2021-03-10,RELIANCE,EQ,2191.05,2207.0,2215.1,2170.25,2179.4,2181.95,2187.67,5316182
2021-03-12,RELIANCE,EQ,2181.95,2195.0,2206.4,2123.9,2136.9,2137.6,2160.6,7783173
2021-03-15,RELIANCE,EQ,2137.6,2140.05,2148.9,2080.5,2105.0,2108.9,2103.37,7706302
2021-03-16,RELIANCE,EQ,2108.9,2114.0,2126.0,2095.5,2100.75,2100.6,2107.19,6402757
2021-03-17,RELIANCE,EQ,2100.6,2098.05,2103.0,2035.1,2054.5,2055.35,2065.89,8865521
2021-03-18,RELIANCE,EQ,2055.35,2072.9,2084.8,2001.0,2010.0,2009.1,2038.79,9528809
2021-03-19,RELIANCE,EQ,2009.1,1991.0,2095.85,1982.8,2078.1,2082.0,2047.5,19284892
2021-03-22,RELIANCE,EQ,2082.0,2071.0,2074.0,2033.2,2061.0,2062.4,2050.93,8571196
2021-03-23,RELIANCE,EQ,2062.4,2061.95,2109.7,2056.0,2079.9,2087.5,2086.63,8039865
2021-03-24,RELIANCE,EQ,2087.5,2079.75,2079.75,2040.4,2048.55,2047.3,2055.87,7763726
2021-03-25,RELIANCE,EQ,2047.3,2054.0,2054.0,1985.0,1993.95,1991.45,2011.25,10153757
2021-03-26,RELIANCE,EQ,1991.45,2012.0,2013.7,1973.7,1994.0,1994.65,1995.09,9313160
2021-03-30,RELIANCE,EQ,1994.65,2008.0,2048.9,1991.55,2031.9,2029.3,2026.44,9433850
2021-03-31,RELIANCE,EQ,2029.3,2018.0,2049.9,1999.0,2005.65,2003.1,2017.21,7499740
2021-04-01,RELIANCE,EQ,2003.1,2018.0,2030.0,2003.15,2020.0,2021.85,2017.89,5410307
2021-04-05,RELIANCE,EQ,2021.85,2024.95,2025.0,1962.1,1992.0,1992.6,1986.24,6864856
2021-04-06,RELIANCE,EQ,1992.6,2004.0,2004.95,1969.0,1986.2,1984.3,1984.99,6465241
2021-04-07,RELIANCE,EQ,1984.3,2000.0,2046.9,1993.3,2001.55,2002.85,2019.21,11198918
2021-04-08,RELIANCE,EQ,2002.85,2011.0,2022.0,1993.0,2006.4,2005.35,2006.16,7092878
2021-04-09,RELIANCE,EQ,2005.35,1998.45,2006.35,1980.0,1983.45,1982.05,1989.08,6478482
2021-04-12,RELIANCE,EQ,1982.05,1959.0,1961.4,1900.25,1915.65,1911.15,1922.99,9646031
2021-04-13,RELIANCE,EQ,1911.15,1924.0,1940.6,1917.85,1932.3,1931.8,1931.39,8958261
2021-04-15,RELIANCE,EQ,1931.8,1926.3,1961.0,1913.0,1943.0,1944.3,1933.33,9102492
2021-04-16,RELIANCE,EQ,1944.3,1936.6,1949.9,1926.45,1929.0,1932.1,1935.23,7225679
2021-04-19,RELIANCE,EQ,1932.1,1904.0,1916.4,1890.0,1903.05,1901.7,1902.57,8527967
2021-04-20,RELIANCE,EQ,1901.7,1910.5,1919.0,1890.45,1905.0,1901.15,1906.74,7939490
2021-04-22,RELIANCE,EQ,1901.15,1892.25,1914.45,1876.7,1905.1,1906.4,1898.59,6687573
2021-04-23,RELIANCE,EQ,1906.4,1906.0,1918.9,1895.35,1903.35,1904.35,1907.47,5459016
2021-04-26,RELIANCE,EQ,1904.35,1920.0,1962.0,1911.5,1938.0,1937.85,1941.32,9620785
2021-04-27,RELIANCE,EQ,1937.85,1940.0,1997.2,1938.25,1990.0,1988.65,1978.64,9226547
2021-04-28,RELIANCE,EQ,1988.65,1997.85,2008.0,1980.15,1993.15,1997.3,1997.6,7902002
2021-04-29,RELIANCE,EQ,1997.3,2022.9,2044.5,2007.3,2020.0,2024.05,2024.21,8035915
2021-04-30,RELIANCE,EQ,2024.05,2008.5,2036.0,1987.55,1995.9,1994.5,2010.2,9150974
2021-05-03,RELIANCE,EQ,1994.5,1966.0,1979.0,1943.1,1956.0,1959.05,1958.46,10909942
2021-05-04,RELIANCE,EQ,1959.05,1950.0,1967.8,1911.0,1918.0,1916.6,1935.83,10083693
